Asmodeo	Pecado: lujuria
Cantidad de Humanos: 0	Promedio de pecados: 1
Máximo de pecados: 0	 Mínimo de pecados: 0




Belfegor	Pecado: gula
Cantidad de Humanos: 0	Promedio de pecados: 1
Máximo de pecados: 0	 Mínimo de pecados: 0




Mammón	Pecado: avaricia
Cantidad de Humanos: 227	Promedio de pecados: 1
Máximo de pecados: 256	 Mínimo de pecados: 115
	Luca Sánchez, cantidad de pecados de avaricia: 154
	Ricardo Sánchez, cantidad de pecados de avaricia: 152
	Esteban Sánchez, cantidad de pecados de avaricia: 126
	Diego Alejandro Fernández, cantidad de pecados de avaricia: 146
	Juan Andrés Fernández, cantidad de pecados de avaricia: 133
	Antonella Fernández, cantidad de pecados de avaricia: 124
	Paula García, cantidad de pecados de avaricia: 132
	María García, cantidad de pecados de avaricia: 116
	Emily García, cantidad de pecados de avaricia: 167
	Sergio García, cantidad de pecados de avaricia: 161
	Camila García, cantidad de pecados de avaricia: 144
	César García, cantidad de pecados de avaricia: 141
	Antonia García, cantidad de pecados de avaricia: 118
	Jerónimo Rodríguez, cantidad de pecados de avaricia: 178
	Juan Sebastián Pérez, cantidad de pecados de avaricia: 162
	Facundo Pérez, cantidad de pecados de avaricia: 137
	Jerónimo Pérez, cantidad de pecados de avaricia: 123
	Juan Manuel Pérez, cantidad de pecados de avaricia: 170
	Julián Pérez, cantidad de pecados de avaricia: 162
	Agustina Pérez, cantidad de pecados de avaricia: 158
	Isabella Pérez, cantidad de pecados de avaricia: 115
	Josué González, cantidad de pecados de avaricia: 133
	Gabriela García, cantidad de pecados de avaricia: 180
	Juliana García, cantidad de pecados de avaricia: 144
	Ximena García, cantidad de pecados de avaricia: 128
	Valentina Gómez, cantidad de pecados de avaricia: 183
	Juanita Gómez, cantidad de pecados de avaricia: 177
	Jerónimo Gómez, cantidad de pecados de avaricia: 144
	Natalia Gómez, cantidad de pecados de avaricia: 123
	Rafael García, cantidad de pecados de avaricia: 125
	Vanessa García, cantidad de pecados de avaricia: 154
	Gabriela García, cantidad de pecados de avaricia: 143
	Dylan García, cantidad de pecados de avaricia: 136
	Paulin García, cantidad de pecados de avaricia: 133
	Valentina García, cantidad de pecados de avaricia: 127
	Briana Rodríguez, cantidad de pecados de avaricia: 216
	Diego Alejandro Rodríguez, cantidad de pecados de avaricia: 180
	Renata Rodríguez, cantidad de pecados de avaricia: 169
	Cristóbal Rodríguez, cantidad de pecados de avaricia: 163
	Nicole Rodríguez, cantidad de pecados de avaricia: 126
	Roberto García, cantidad de pecados de avaricia: 161
	Paula García, cantidad de pecados de avaricia: 126
	Mario López, cantidad de pecados de avaricia: 147
	Fernanda López, cantidad de pecados de avaricia: 122
	Marcos González, cantidad de pecados de avaricia: 120
	Franco López, cantidad de pecados de avaricia: 133
	Oscar López, cantidad de pecados de avaricia: 117
	Gabriela López, cantidad de pecados de avaricia: 141
	Dylan Rodríguez, cantidad de pecados de avaricia: 230
	Juan David Rodríguez, cantidad de pecados de avaricia: 222
	María Rodríguez, cantidad de pecados de avaricia: 202
	Antonia Rodríguez, cantidad de pecados de avaricia: 162
	Valentina Rodríguez, cantidad de pecados de avaricia: 142
	Esteban Rodríguez, cantidad de pecados de avaricia: 140
	Sergio Rodríguez, cantidad de pecados de avaricia: 140
	César Rodríguez, cantidad de pecados de avaricia: 128
	Monserrat Rodríguez, cantidad de pecados de avaricia: 123
	Vanessa Rodríguez, cantidad de pecados de avaricia: 118
	Melanie Martin, cantidad de pecados de avaricia: 183
	Renata Martin, cantidad de pecados de avaricia: 142
	Juan Sebastián Martin, cantidad de pecados de avaricia: 140
	Diego Alejandro Martin, cantidad de pecados de avaricia: 120
	Mía García, cantidad de pecados de avaricia: 145
	Valentín Martin, cantidad de pecados de avaricia: 143
	Isabella Martin, cantidad de pecados de avaricia: 142
	Jonathan González, cantidad de pecados de avaricia: 125
	Axel González, cantidad de pecados de avaricia: 119
	Renata García, cantidad de pecados de avaricia: 142
	Nicole García, cantidad de pecados de avaricia: 122
	Luciana Rodríguez, cantidad de pecados de avaricia: 148
	Juliana Rodríguez, cantidad de pecados de avaricia: 139
	Andrea Gómez, cantidad de pecados de avaricia: 133
	Emilia Gómez, cantidad de pecados de avaricia: 163
	Cristóbal Gómez, cantidad de pecados de avaricia: 143
